OFFICE,QUARTER,PROGRAM,CATEGORY,AMOUNT
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,221275.07
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,913.14
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23364.75
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5899.16
2018 HON. ALMA S. ADAMS,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12748.02
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,528.44
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,125.41
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6131
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,258966.66
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,96.3
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18677.7
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4614.04
2018 HON. AMATA COLEMAN RADEWAGEN,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12408.63
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,935.01
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,20328.61
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5355
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,214038.96
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12450.37
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30418.83
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,976.81
2018 HON. AMI BERA,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11774.18
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1083
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,343.89
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10144.16
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,263808.33
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2250.4
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25536.54
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3857.41
2018 HON. ANDRE CARSON,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15846.45
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1941.02
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8094
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,220266.67
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,678.97
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24000.88
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2171.15
2018 HON. ANDY BARR,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12919.41
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,721.71
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,57585.73
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6528.62
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,209766.66
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,65592.7
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,27176.67
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1600.12
2018 HON. ANDY BIGGS,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10313.8
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,945.99
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2147.4
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7820
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,219853.37
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,690.96
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22997.81
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2947.72
2018 HON. ANDY HARRIS,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8448.65
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,419.01
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,29211.72
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6868.56
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,215823.29
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,63703.09
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,35217.15
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5311.63
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,1200
2018 HON. ANN M. KUSTER,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10930.4
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,396
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,36901.38
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,229804.17
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,231.84
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14120.42
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6265.01
2018 HON. ANN WAGNER,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7885.37
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2075.52
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1199.43
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7743.98
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,259449.96
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,398.99
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,45420.07
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,953.34
2018 HON. ANNA G. ESHOO,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13685.08
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,978
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,22109.57
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,234875.01
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3682.51
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24250.03
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6167.12
2018 HON. ANTHONY G. BROWN,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2561.66
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1038
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1989.83
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9620
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,223077.79
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4525.22
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,17177.93
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3369.4
2018 HON. AUSTIN SCOTT,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12587.64
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1025.12
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,47587.69
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,182793.32
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,20975.89
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15617.73
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3524.37
2018 HON. BARBARA COMSTOCK,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2574.65
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,404.1
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,570.16
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,15693.95
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,240631.15
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,297.28
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,37157.37
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9864.17
2018 HON. BARBARA LEE,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27425.99
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3702.84
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,344.73
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6400
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,233511.08
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1647.62
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24151.96
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6589.54
2018 HON. BARRY LOUDERMILK,Q2,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17579.76
2018 HON. BEN RAY LUJAN,Q2,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,879
2018 HON. BEN RAY LUJAN,Q2,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,211.23
