OFFICE,QUARTER,PROGRAM,CATEGORY,AMOUNT
2018 HON. ADAM B. SCHIFF,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10253.58
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,475
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,25218.4
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6055
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,235133.35
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,19432.15
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,39674.68
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10551.35
2018 HON. ADAM KINZINGER,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12909.25
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1176
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,698.94
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5840.8
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,255613.31
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2543.4
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19018.37
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3514.63
2018 HON. ADAM SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11425.56
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,735
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,8148.73
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6089.16
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,253487.33
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,533.6
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21736.7
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3043.25
2018 HON. ADRIAN SMITH,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17958.96
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3833.65
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,68.78
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6075
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,273821.96
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1665.83
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,48920.27
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18741.69
2018 HON. ADRIANO ESPAILLAT,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4777.99
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3140.49
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,109.91
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25657.09
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,208658.61
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,674.9
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,39877.84
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10268.5
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,0
2018 HON. AL GREEN,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5822.6
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3608.49
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,127.14
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,264780.91
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1129.07
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19655.11
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8029.48
2018 HON. AL LAWSON  JR.,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14303.83
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,891
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,671.65
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6280
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,274368.56
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2757.28
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30550.97
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1865.97
2018 HON. ALAN S. LOWENTHAL,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8086.19
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6369
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1850.41
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11200
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,294399.97
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7795
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15822.77
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3710.38
2018 HON. ALBIO SIRES,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4539.45
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588.45
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,356.63
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12442.51
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,263877.72
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,576.29
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25906.35
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5393.22
2018 HON. ALCEE L. HASTINGS,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15588.22
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2395.78
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,76654.2
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10425
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,173085.01
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,70008.18
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,46685.21
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4255.47
2018 HON. ALEXANDER X. MOONEY,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19200.26
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,70.41
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10742.48
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7941.55
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,230304.2
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,17834.26
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23381.76
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6092.35
2018 HON. ALMA S. ADAMS,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15295.7
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,0
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,861.62
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5670
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,261709.72
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,59.95
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21832.08
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6517.87
2018 HON. AMATA COLEMAN RADEWAGEN,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,60992.15
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,901.64
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,45930.16
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5355
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,217083.34
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,34300.78
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29364.58
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2223.75
2018 HON. AMI BERA,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8488.12
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1083
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,582.23
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11025.82
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,265400.01
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9521.67
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,25464.93
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4803.77
2018 HON. ANDRE CARSON,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11362.94
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,21808.29
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6560
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,227975
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,33566.81
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23758.2
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2642.5
2018 HON. ANDY BARR,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10962.49
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,721.71
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,136.35
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12230
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,215843.33
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,22336.17
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23707.5
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2211.52
2018 HON. ANDY BIGGS,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7466.56
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,912.62
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,87895.45
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6880
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,228298.17
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1571.35
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19059.14
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3200.04
2018 HON. ANDY HARRIS,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6425.2
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3158.84
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,28748.32
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6693
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,217496.63
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,703.22
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34188.19
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2242.78
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,0
2018 HON. ANN M. KUSTER,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15883.11
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1810.74
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,379.82
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9580
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,229018.07
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,46973.27
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,20923.37
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1662.1
2018 HON. ANN WAGNER,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12873.37
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2343.4
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1328.07
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7080
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,259290.2
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,362.47
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,46015.34
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2109.98
2018 HON. ANNA G. ESHOO,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3837.42
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,978
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,141.83
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9908.5
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,228902.78
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4663.21
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22107.27
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2744.63
2018 HON. ANTHONY G. BROWN,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3431.28
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4114.97
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,8098.31
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11225
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,251569.44
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3784.14
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16796.33
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1007.87
2018 HON. AUSTIN SCOTT,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15122.83
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5206.99
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10763.34
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5657.97
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,188547.22
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,41151.96
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21688.75
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13192.06
2018 HON. BARBARA COMSTOCK,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4660.27
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,404.1
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,390.24
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12721.26
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,236400.6
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2364.66
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,37059.45
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4763.97
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,196.68
2018 HON. BARBARA LEE,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17580.69
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1956.02
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,25315.34
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8310.44
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,235038.21
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,18174.65
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29575.3
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6854.3
2018 HON. BARRY LOUDERMILK,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23754.87
