OFFICE,QUARTER,PROGRAM,CATEGORY,AMOUNT
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1017.4
2018 HON. ADAM B. SCHIFF,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6064.57
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,360
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,500.21
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4817.25
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,231754.43
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,187.95
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,15842.44
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1418.31
2018 HON. ADAM KINZINGER,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7613
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1176
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,885.49
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3720
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,238442.77
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,99.9
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12424.18
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,873.3
2018 HON. ADAM SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3945.87
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,735
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,33.69
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4020
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,244038.04
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,122.6
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12652.3
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2071.66
2018 HON. ADRIAN SMITH,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12513.58
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2018.49
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6689.81
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4624.38
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,249958.39
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,509.85
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22280.18
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13173.49
2018 HON. ADRIANO ESPAILLAT,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6022.74
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1585.12
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1185.99
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21400
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,212728.64
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,907.5
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19957.01
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18966.27
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,425.51
2018 HON. AL GREEN,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10350.47
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3608.49
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,72.68
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3720
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,216044.4
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,21.5
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13360.94
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2501.71
2018 HON. AL LAWSON  JR.,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7582.77
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,891
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,503.92
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4540
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,253412.22
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,452.6
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21012.11
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2892.53
2018 HON. ALAN S. LOWENTHAL,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7636.54
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4099
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,340.42
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5720
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,248333.79
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4079.5
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18529.64
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5349.68
2018 HON. ALBIO SIRES,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3488.5
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2282.01
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,850.85
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9905
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,248990.42
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,264.15
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22349.92
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1380.85
2018 HON. ALCEE L. HASTINGS,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3734.21
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1009.23
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,51886.19
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3720
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,159621.91
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,46770.35
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19636.51
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1936.06
2018 HON. ALEXANDER X. MOONEY,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6891.83
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1054.8
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1053.49
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7242.84
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,204231.83
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,387.91
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14374.56
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3322.07
2018 HON. ALMA S. ADAMS,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14036.11
2018 HON. AMATA COLEMAN RADEWAGEN,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,7.69
2018 HON. AMATA COLEMAN RADEWAGEN,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5395
2018 HON. AMATA COLEMAN RADEWAGEN,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,246497.22
2018 HON. AMATA COLEMAN RADEWAGEN,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,73.25
2018 HON. AMATA COLEMAN RADEWAGEN,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12767.43
2018 HON. AMATA COLEMAN RADEWAGEN,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4523.54
2018 HON. AMATA COLEMAN RADEWAGEN,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13085.86
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1158.75
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6218.22
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3570
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,226494.37
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12763.44
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18285.7
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,825.11
2018 HON. AMI BERA,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4128.11
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1083
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,187.34
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10295.83
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,247702.72
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,39.95
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21282.85
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2704.34
2018 HON. ANDRE CARSON,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8762.35
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,588
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50991.59
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4365.87
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,209669.99
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,33234.36
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23839.57
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1117.28
2018 HON. ANDY BARR,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7839.13
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,721.71
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,19778.56
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3870
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,186264.57
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,17682.08
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,21697.88
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1166.06
2018 HON. ANDY BIGGS,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10660.68
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,945.99
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,463.36
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6020
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,218379.99
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1026.82
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,12786.85
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4513.75
2018 HON. ANDY HARRIS,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2420.83
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,419.01
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,597.57
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6746.96
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,217545.73
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,214.75
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,23302.89
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1049.96
2018 HON. ANN M. KUSTER,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9045.06
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1311
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,279.52
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5580
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,255226.89
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,456.05
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,18279.25
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14589.4
2018 HON. ANN WAGNER,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5061.32
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1235.4
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1598.06
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4760
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,247199.63
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,25
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,38990.2
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2431.07
2018 HON. ANNA G. ESHOO,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9666.92
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,978
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,65600.82
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5655
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,209082.31
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5557.7
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,16695.66
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1728.76
2018 HON. ANTHONY G. BROWN,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,917.83
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1038
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6917.48
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4175
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,213966.7
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4504.31
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,14511.57
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2157.67
2018 HON. AUSTIN SCOTT,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7637.66
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1068.99
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17255.85
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4140.7
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,211064.35
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,11402.47
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,13475.92
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2273.92
2018 HON. BARBARA COMSTOCK,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,211.67
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,404.1
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,377.03
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,10919.48
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,238704.54
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,68.84
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,36907.7
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4268.95
2018 HON. BARBARA LEE,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7694.05
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1989.39
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,-4.81
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5741.77
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,218340.31
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1008.15
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22076.51
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9361.46
2018 HON. BARRY LOUDERMILK,Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9952.04
2018 HON. BEN RAY LUJAN,Q1,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,879
2018 HON. BEN RAY LUJAN,Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10.22
2018 HON. BEN RAY LUJAN,Q1,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4454.46
2018 HON. BEN RAY LUJAN,Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,257421.21
